Has_Online_delivery,Photos_url,Price_Range,Rating_text,Rating_Color,Rating_Votes,Aggregate_rating,Restaurant_id,Restaurant_Name,Cuisines,is_delivering_now,Average_cost_for_two,Switch_to_order_menu,Has_table_booking,latitude,Address,City,Country_id,Locality_verbose,City_id,longitude,Locality,Currency
0,https://www.zomato.com/ncr/spice-aangan-express-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,33,3.0,18273621,Spice Aangan Express,Fast Food,0,400,0,0,28.461131,"H-154, Sushant Shopping Arcade, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",1,77.0792457,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Rs.
0,https://www.zomato.com/ncr/hungry-gopal-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,27,3.2,18341082,Hungry Gopal,"Bengali, Fast Food",0,450,0,0,28.4543078,"C-463 A, Basement, Near Gold Souk Mall, Phase 1, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0786436,Sushant Lok,Rs.
0,https://www.zomato.com/ncr/downtown-kitchen-bar-courtyard-by-marriott-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,Average,CDD614,6,3.2,18441709,Downtown Kitchen & Bar - Courtyard by Marriott,"Chinese, North Indian, Italian",0,2700,0,0,28.460925,"Courtyard by Marriott, Plot 27 B, Sushant Lok 1, Sushant Lok, Gurgaon",Gurgaon,1,"Courtyard by Marriott, Sushant Lok, Gurgaon",1,77.080367,"Courtyard by Marriott, Sushant Lok",Rs.
0,https://www.zomato.com/ncr/indo-chinese-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,12,3.2,18466966,Indo Chinese,"North Indian, Chinese",0,200,0,0,0.0,"178, Ground Floor, Vyapar Kendra, Sushant Lok, Gurgaon",Gurgaon,1,"Vyapar Kendra, Sushant Lok, Gurgaon",1,0.0,"Vyapar Kendra, Sushant Lok",Rs.
0,https://www.zomato.com/ncr/mummys-kitchen-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Good,9ACD32,26,3.5,18157408,Mummy's Kitchen,North Indian,0,150,0,0,28.4543176,"Shop 114, Queens Plaza, C Block, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0853157,Sushant Lok,Rs.
1,https://www.zomato.com/ncr/the-toddy-shop-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,Average,CDD614,21,3.4,18292458,The Toddy Shop,"South Indian, Kerala",0,1200,0,0,28.460829,"C-128, B Block, Sushant Shopping Arcade, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",1,77.0792715,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Rs.
1,https://www.zomato.com/abs18/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,61,3.3,302558,Aggarwal,"South Indian, Chinese, Street Food, Mithai",0,400,0,0,28.5708113261,"B-1/3, Near Sector 18 Metro Station, Sector 18, Noida",Noida,1,"Sector 18, Noida",1,77.3259310797,Sector 18,Rs.
1,https://www.zomato.com/ncr/shanghai-cafe-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,FFBA00,17,2.6,307398,Shanghai Cafe,Chinese,0,600,0,0,28.4285248,"SCO 13, District Commercial Sector, Near Metro Mall, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.1000683,Sector 56,Rs.
0,https://www.zomato.com/ncr/giani-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,7,3.2,18265424,Giani,"Ice Cream, Desserts",0,300,0,0,28.4255681,"HUDA Market, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.1000368,Sector 56,Rs.
1,https://www.zomato.com/ncr/ullu-delivers-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,FFBA00,5,2.8,18439540,Ullu Delivers,"North Indian, Chinese",1,500,0,0,28.4250399,"C Block, Near HUDA Market, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.0993188,Sector 56,Rs.
